Match Date,Home Team,Away Team,Home Score,Away Score,Result
2024-12-12,Team A,Team E,1,5,Away Win
2024-04-11,Team A,Team E,1,0,Home Win
2024-04-08,Team D,Team C,0,1,Away Win
2024-05-15,Team B,Team C,3,2,Home Win
2024-04-08,Team D,Team A,5,2,Home Win
2024-08-20,Team B,Team C,1,3,Away Win
2024-02-06,Team C,Team E,2,5,Away Win
2024-06-15,Team B,Team D,5,1,Home Win
2024-06-10,Team C,Team D,1,4,Away Win
2024-10-26,Team D,Team B,1,4,Away Win
2024-11-17,Team B,Team E,0,0,Draw
2024-12-14,Team D,Team E,3,4,Away Win
2024-05-14,Team C,Team A,1,5,Away Win
2024-02-11,Team C,Team B,1,4,Away Win
2024-02-10,Team A,Team C,2,1,Home Win
2024-09-27,Team E,Team B,3,1,Home Win
2024-08-12,Team E,Team B,3,5,Away Win
2024-01-04,Team B,Team E,2,1,Home Win
2024-09-05,Team A,Team E,0,2,Away Win
2024-06-30,Team B,Team D,1,5,Away Win
2024-04-08,Team A,Team E,3,0,Home Win
2024-10-08,Team D,Team B,1,0,Home Win
2024-03-25,Team A,Team B,3,3,Draw
2024-09-06,Team C,Team D,5,4,Home Win
2024-01-26,Team B,Team A,4,3,Home Win
2024-07-25,Team A,Team E,0,5,Away Win
2024-04-14,Team E,Team A,4,2,Home Win
2024-05-01,Team C,Team D,5,2,Home Win
2024-08-07,Team E,Team B,1,0,Home Win
2024-06-02,Team E,Team C,5,5,Draw
2024-11-05,Team C,Team A,5,2,Home Win
2024-01-23,Team C,Team D,0,3,Away Win
2024-02-27,Team C,Team B,4,4,Draw
2024-04-17,Team C,Team B,0,0,Draw
2024-03-31,Team C,Team D,5,1,Home Win
2024-12-25,Team C,Team D,5,2,Home Win
2024-01-13,Team D,Team B,3,1,Home Win
2024-12-13,Team C,Team E,2,4,Away Win
2024-08-11,Team E,Team A,4,0,Home Win
2024-06-02,Team D,Team A,2,5,Away Win
2024-07-13,Team C,Team D,4,3,Home Win
2024-01-12,Team D,Team A,1,4,Away Win
2024-09-20,Team D,Team B,5,0,Home Win
2024-08-31,Team B,Team C,1,0,Home Win
2024-12-01,Team D,Team B,3,1,Home Win
2024-05-07,Team D,Team B,5,0,Home Win
2024-08-06,Team D,Team C,3,5,Away Win
2024-09-05,Team D,Team E,1,2,Away Win
2024-02-11,Team D,Team A,1,2,Away Win
2024-08-26,Team D,Team B,0,2,Away Win
2024-07-13,Team D,Team E,4,0,Home Win
2024-11-04,Team C,Team D,3,5,Away Win
2024-03-25,Team C,Team D,3,5,Away Win
2024-01-26,Team D,Team A,3,3,Draw
2024-11-02,Team B,Team D,3,3,Draw
2024-12-24,Team B,Team E,0,1,Away Win
2024-01-14,Team E,Team A,1,0,Home Win
2024-12-16,Team B,Team A,5,5,Draw
2024-03-08,Team C,Team D,0,2,Away Win
2024-05-18,Team C,Team D,3,4,Away Win
2024-08-18,Team D,Team C,1,0,Home Win
2024-12-05,Team C,Team A,2,1,Home Win
2024-09-07,Team E,Team A,1,5,Away Win
2024-04-05,Team D,Team E,0,3,Away Win
2024-08-20,Team E,Team C,5,2,Home Win
2024-04-04,Team B,Team A,2,4,Away Win
2024-06-03,Team C,Team E,1,2,Away Win
2024-02-22,Team A,Team E,5,5,Draw
2024-03-02,Team D,Team E,0,3,Away Win
2024-03-01,Team E,Team A,4,0,Home Win
2024-06-05,Team E,Team D,3,4,Away Win
2024-02-08,Team B,Team E,0,1,Away Win
2024-08-20,Team D,Team E,1,2,Away Win
2024-03-13,Team E,Team B,4,1,Home Win
2024-05-19,Team C,Team E,3,5,Away Win
2024-02-16,Team A,Team E,5,2,Home Win
2024-05-22,Team E,Team A,1,5,Away Win
2024-06-17,Team A,Team D,2,0,Home Win
2024-09-20,Team D,Team A,2,0,Home Win
2024-01-27,Team A,Team B,4,5,Away Win
2024-05-02,Team C,Team D,3,5,Away Win
2024-03-01,Team E,Team A,0,0,Draw
2024-10-09,Team C,Team E,3,1,Home Win
2024-09-16,Team E,Team B,2,3,Away Win
2024-10-09,Team C,Team D,3,2,Home Win
2024-01-23,Team C,Team B,1,1,Draw
2024-02-21,Team D,Team B,0,4,Away Win
2024-05-15,Team A,Team B,5,0,Home Win
2024-01-19,Team C,Team D,5,3,Home Win
2024-02-21,Team C,Team B,3,5,Away Win
2024-03-15,Team A,Team E,0,2,Away Win
2024-10-25,Team B,Team E,3,1,Home Win
2024-12-12,Team C,Team D,0,3,Away Win
2024-08-05,Team D,Team C,2,3,Away Win
2024-12-24,Team D,Team E,3,4,Away Win
2024-11-09,Team C,Team A,5,0,Home Win
2024-03-11,Team B,Team E,5,5,Draw
2024-11-05,Team B,Team E,2,2,Draw
2024-11-12,Team A,Team D,1,1,Draw
2024-10-12,Team D,Team A,0,5,Away Win
2024-11-08,Team A,Team B,4,4,Draw
2024-02-29,Team C,Team D,0,2,Away Win
2024-10-27,Team D,Team E,5,4,Home Win
2024-01-02,Team C,Team A,2,5,Away Win
2024-01-26,Team A,Team D,1,4,Away Win
2024-03-16,Team E,Team B,2,1,Home Win
2024-08-01,Team B,Team E,1,0,Home Win
2024-02-02,Team A,Team B,1,4,Away Win
2024-12-03,Team E,Team A,1,0,Home Win
2024-12-30,Team A,Team E,3,0,Home Win
2024-07-14,Team C,Team B,3,4,Away Win
2024-10-09,Team E,Team D,5,5,Draw
2024-09-06,Team D,Team B,3,5,Away Win
2024-08-09,Team C,Team B,3,2,Home Win
2024-07-29,Team E,Team A,4,5,Away Win
2024-09-03,Team C,Team E,4,1,Home Win
2024-11-14,Team E,Team C,2,3,Away Win
2024-04-02,Team A,Team B,2,2,Draw
2024-06-23,Team B,Team A,4,3,Home Win
2024-12-11,Team C,Team A,1,4,Away Win
2024-06-25,Team D,Team E,3,4,Away Win
2024-09-11,Team C,Team B,2,0,Home Win
2024-06-02,Team B,Team D,1,5,Away Win
2024-12-29,Team A,Team D,2,4,Away Win
2024-06-22,Team A,Team B,3,3,Draw
2024-11-26,Team A,Team E,1,2,Away Win
2024-03-31,Team B,Team C,4,5,Away Win
2024-11-17,Team E,Team D,4,4,Draw
2024-06-29,Team A,Team D,2,4,Away Win
2024-08-31,Team E,Team A,4,2,Home Win
2024-11-26,Team D,Team A,2,0,Home Win
2024-07-17,Team D,Team E,4,2,Home Win
2024-12-02,Team C,Team A,4,2,Home Win
2024-07-19,Team A,Team B,2,5,Away Win
2024-12-16,Team E,Team D,2,5,Away Win
2024-09-26,Team B,Team A,0,4,Away Win
2024-08-12,Team E,Team D,1,4,Away Win
2024-02-05,Team B,Team D,5,1,Home Win
2024-08-02,Team C,Team D,2,4,Away Win
2024-09-21,Team C,Team A,2,0,Home Win
2024-04-23,Team B,Team C,4,3,Home Win
2024-04-24,Team D,Team A,2,0,Home Win
2024-03-12,Team C,Team B,2,3,Away Win
2024-11-07,Team E,Team A,0,1,Away Win
2024-08-22,Team C,Team B,0,5,Away Win
2024-08-07,Team E,Team A,4,1,Home Win
2024-09-26,Team E,Team D,5,2,Home Win
2024-04-02,Team D,Team A,2,0,Home Win
2024-12-16,Team E,Team C,2,5,Away Win
2024-07-04,Team C,Team D,4,0,Home Win
2024-08-13,Team C,Team E,2,3,Away Win
2024-08-05,Team D,Team E,4,0,Home Win
2024-08-16,Team E,Team C,0,2,Away Win
2024-10-08,Team D,Team C,5,2,Home Win
2024-11-07,Team D,Team C,5,0,Home Win
