Match Date,Home Team,Away Team,Home Score,Away Score,Result
2024/12/12,Team A, Team E ,1,5,Away Win
2024/04/11, Team A ,team e,1,0,HOME WIN
04-08-2024,TEAM D,team c,0,1,AWAY WIN
2024-05-15, Team B ,Team C,3,2,HOME WIN
2024/04/08,Team D,Team A,5,2,HOME WIN
2024/08/20,TEAM B,team c,1,3,away win
2024/02/06,team c,team e,2,5,AWAY WIN
2024-06-15,team b,Team D,5,1,HOME WIN
2024-06-10, Team C , Team D ,1,4,AWAY WIN
26-10-2024, Team D ,TEAM B,1,4,away win
2024-11-17, Team B ,Team E,0,0,Draw
2024/12/14,Team D,TEAM E,3,4,Away Win
2024/05/14,team c,Team A,1,5,AWAY WIN
02-11-2024, Team C ,Team B,1,4,Away Win
2024-02-10, Team A ,Team C,2,1,HOME WIN
2024/09/27, Team E ,team b,3,1,home win
2024/08/12, Team E ,Team B,3,5,away win
2024-01-04,Team B,team e,Two,1,Away Win
2024-09-05,team a, Team E ,0,2,AWAY WIN
30-06-2024, Team B , Team D ,1,5,away win
2024-04-08, Team A ,team e,Three,0,Away Win
2024-10-08,Team D,Team B,1,0,home win
25-03-2024,Team A, Team B ,3,3,Draw
2024-09-06,team c,TEAM D,5,4,HOME WIN
2024/01/26, Team B ,team a,4,Three,Home Win
2024-07-25,team a,Team E,0,5,Away Win
2024/04/14,TEAM E,team a,4,2,home win
05-01-2024,Team C,Team D,5,2,Home Win
08-07-2024,team e, Team B ,1,0,Home Win
2024/06/02,Team E,team c,5,5,DRAW
2024-11-05,TEAM C,team a,5,2,home win
2024-01-23,TEAM C,team d,0,3,away win
2024-02-27,team c,Team B,4,4,Draw
2024/04/17,team c,Team B,0,0,draw
31-03-2024,Team C,team d,5,1,Home Win
2024-12-25, Team C ,Team D,5,2,Home Win
2024/01/13,team d, Team B ,3,1,Home Win
2024/12/13,TEAM C,Team E,2,4,away win
2024/06/25,TEAM A, Team C ,2,,
2024-08-11,team e,TEAM A,4,0,HOME WIN
2024/06/02,TEAM D, Team A ,2,5,Away Win
2024/07/13,team c,TEAM D,4,3,HOME WIN
01-12-2024, Team D , Team A ,1,4,AWAY WIN
2024/09/20,TEAM D,Team B,5,0,home win
2024/08/31,Team B, Team C ,1,0,Home Win
2024/12/01,Team D,Team B,3,1,Home Win
2024-05-07, Team D ,team b,5,0,HOME WIN
2024/08/06, Team D ,team c,3,5,AWAY WIN
2024/09/05,team d,TEAM E,1,2,AWAY WIN
2024-02-11,team d,team a,1,2,AWAY WIN
26-08-2024,Team D,team b,0,2,AWAY WIN
13-07-2024,Team D,TEAM E,4,0,HOME WIN
2024-11-04, Team C ,team d,3,5,AWAY WIN
25-03-2024,team c,Team D,3,5,away win
26-01-2024, Team D ,TEAM A,3,3,Draw
11-02-2024,Team B,Team D,3,3,draw
2024-05-06,Team C,team b,5,,Home Win
24-12-2024,TEAM B,team e,0,1,away win
14-01-2024, Team E , Team A ,1,0,HOME WIN
2024/12/16,Team B,Team A,5,5,draw
03-08-2024,Team C, Team D ,0,2,Away Win
2024/05/18, Team C , Team D ,3,4,AWAY WIN
2024-08-18, Team D , Team C ,1,0,home win
12-05-2024,TEAM C,TEAM A,2,1,home win
2024/09/07,team e, Team A ,1,5,away win
04-05-2024,TEAM D, Team E ,0,3,AWAY WIN
20-08-2024,TEAM E,TEAM C,5,2,HOME WIN
2024-04-04,team b, Team A ,2,4,AWAY WIN
2024-06-03,team c,TEAM E,1,2,Away Win
2024-02-22,TEAM A, Team E ,5,5,draw
03-02-2024, Team D ,Team E,0,3,Away Win
2024/03/01, Team E ,team a,4,0,Home Win
2024/06/05,Team E,Team D,3,4,away win
2024-02-08,Team B, Team E ,0,1,AWAY WIN
2024-08-20,team d,TEAM E,1,2,AWAY WIN
2024-03-13,Team E,team b,4,1,home win
2024/05/19, Team C , Team E ,3,5,away win
2024-02-16,Team A,TEAM E,5,2,Home Win
2024-05-22, Team E , Team A ,1,5,away win
17-06-2024, Team A ,TEAM D,2,0,Home Win
2024-09-20, Team D , Team A ,2,0,home win
2024-01-27,TEAM A,team b,4,5,away win
2024/05/02,team c,TEAM D,3,5,AWAY WIN
2024/03/01,team e, Team A ,0,0,draw
2024-10-09, Team C ,team e,3,1,home win
16-09-2024,Team E,TEAM B,2,3,away win
2024/10/09, Team C , Team D ,3,2,home win
23-01-2024, Team C , Team B ,1,1,draw
21-02-2024,Team D, Team B ,0,4,away win
15-05-2024, Team A ,Team B,5,0,home win
2024/01/19,Team C,team d,5,3,HOME WIN
21-02-2024,team c,TEAM B,3,5,AWAY WIN
2024-03-15, Team A ,team e,0,2,away win
2024-10-25,team b, Team E ,Three,1,
2024/12/12,team c,Team D,0,3,away win
08-05-2024,TEAM D,team c,2,3,AWAY WIN
24-12-2024,Team D, Team E ,3,4,away win
11-09-2024,team c,TEAM A,5,0,HOME WIN
2024/03/11,Team B,Team E,5,5,DRAW
31-05-2024, Team C ,team d,,1,Home Win
11-05-2024,TEAM B,TEAM E,2,2,Draw
11-12-2024,TEAM A,Team D,1,1,DRAW
10-12-2024, Team D ,TEAM A,0,5,AWAY WIN
2024-11-08,Team A, Team B ,4,4,draw
2024-02-29,team c,team d,0,2,away win
2024/10/27,team d, Team E ,5,4,home win
21-04-2024, Team A ,team d,2,,Draw
01-02-2024,TEAM C,team a,2,5,away win
26-01-2024,team a,team d,1,4,Away Win
2024/03/16,Team E,TEAM B,Two,1,Draw
08-01-2024,team b,TEAM E,1,0,Home Win
02-02-2024, Team A ,TEAM B,1,4,Away Win
2024/12/03,TEAM E, Team A ,1,0,HOME WIN
30-12-2024,Team A,Team E,3,0,home win
2024/07/14,TEAM C, Team B ,Three,4,Draw
2024/10/09,team e, Team D ,5,5,DRAW
09-06-2024,TEAM D,TEAM B,3,5,Away Win
2024-08-09,TEAM C,team b,3,Two,Home Win
29-07-2024, Team E ,Team A,4,5,Away Win
2024-09-03,Team C,TEAM E,4,1,HOME WIN
2024/11/14,Team E,TEAM C,2,3,AWAY WIN
2024-04-02, Team A ,Team B,2,2,Draw
2024-06-23,TEAM B,TEAM A,4,3,home win
2024-12-11,TEAM C, Team A ,1,4,Away Win
25-06-2024,Team D,TEAM E,3,4,Away Win
2024-11-02,Team E,team d,2,,
2024/09/11, Team C ,team b,2,0,Home Win
06-02-2024,Team B, Team D ,1,5,away win
2024/12/29, Team A ,TEAM D,2,4,away win
19-12-2024,Team A, Team D ,,4,
2024-06-22,TEAM A,team b,3,3,draw
2024-11-26,team a,Team E,1,2,away win
2024/03/31, Team B , Team C ,4,5,Away Win
17-11-2024,team e, Team D ,4,4,draw
2024/06/29,Team A,TEAM D,2,4,Away Win
2024-11-26, Team D , Team E ,,2,Home Win
2024/08/31,team e,Team A,4,2,HOME WIN
2024-11-26,Team D,team a,2,0,HOME WIN
17-07-2024,TEAM D,Team E,4,2,home win
2024/12/02,team c,TEAM A,4,2,home win
2024-07-19,Team A,TEAM B,2,5,AWAY WIN
2024/12/16,Team E, Team D ,2,5,AWAY WIN
2024-09-05,team e,team c,,1,Draw
2024-09-26,TEAM B,team a,0,4,AWAY WIN
2024-08-12, Team E ,TEAM D,1,4,Away Win
02-05-2024, Team B ,team d,5,1,HOME WIN
2024-08-02,team c,team d,2,4,AWAY WIN
2024-09-21,TEAM C,Team A,2,0,HOME WIN
23-04-2024,TEAM B,Team C,4,3,Home Win
